Név;Nem;Születésnap;Úszás;Kerékpár;Futás;Rajtszám
Novák Szabolcs;f;2004.05.22;1:31:57;1:06:57;1:15:16;10001
Farkas Dóra;n;1987.04.12;1:15:47;1:30:20;2:37:09;10002
Csonka Nóra;n;1986.04.03;1:41:41;2:57:43;2:52:27;10003
Szûcs Zsófia;n;1999.09.09;1:55:57;1:04:13;2:01:33;10004
Sipos Barnabás;f;1994.11.21;2:20:00;1:57:30;2:41:11;10005
Török Márton;f;1998.11.12;2:49:10;2:39:18;2:04:35;10006
Lukács Regina;n;1998.08.06;2:30:34;2:22:22;1:41:38;10007
Pap József;f;1990.07.25;1:14:42;1:56:06;2:21:47;10008
Antal Krisztina;n;1981.03.04;2:26:25;1:42:32;2:35:14;10009
Sándor József;f;1995.08.07;1:38:30;2:12:51;2:50:29;10010
Fehér Zsolt;f;1996.12.08;2:19:30;1:19:28;2:00:38;10011
Kis Dorka;n;1988.12.27;1:33:14;1:47:06;2:43:35;10012
Virág Barbara;n;1983.08.16;1:32:09;1:06:14;1:43:35;10013
Székely Benedek;f;1986.11.26;1:13:52;2:46:53;2:21:22;10014
Bíró Sándor;f;1994.08.24;1:39:29;2:30:58;1:09:32;10015
Gulyás Tímea;n;1987.08.10;2:17:50;2:01:07;2:29:51;10016
Gáspár Boglárka;n;1993.03.04;1:26:39;1:33:53;2:39:23;10017
Pál Vivien;n;1996.06.28;2:57:42;2:05:02;1:56:22;10018
Bodnár Olivér;f;2003.01.26;1:11:11;2:07:58;2:14:24;10019
Szûcs Réka;n;2003.10.12;2:30:20;1:48:59;1:50:50;10020
Gáspár Richárd;f;1984.12.02;1:50:07;1:42:23;1:26:48;10021
Kis Csenge;n;2003.08.30;1:25:26;2:53:02;1:47:50;10022
Balog Richárd;f;1983.12.09;1:30:35;2:20:50;2:29:05;10023
Hegedüs Adrienn;n;1987.08.27;2:21:34;1:44:06;1:27:30;10024
Kun Lilla;n;1985.03.31;1:56:08;1:11:17;2:29:50;10025
Vass Krisztián;f;2000.04.26;1:08:44;1:38:37;2:19:52;10026
Gulyás Luca;n;1993.05.02;2:10:30;2:54:05;1:31:01;10027
Hegedûs Tamás;f;1994.03.14;2:09:53;1:46:26;1:25:33;10028
Budai Dániel;f;2004.08.27;2:24:39;1:42:57;2:30:21;10029
Király Dávid;f;1993.01.18;2:50:24;2:40:22;1:08:12;10030
Dobos Milán;f;2000.04.28;1:02:06;1:25:20;1:37:57;10031
Faragó Viktor;f;1992.12.30;1:04:27;1:30:06;1:17:11;10032
Jónás Kristóf;f;2000.05.08;1:06:15;2:00:23;1:12:36;10033
Varga Kevin;f;1989.09.28;1:05:45;1:10:44;2:16:06;10034
Balázs Alex;f;1988.12.07;2:21:59;2:24:25;1:13:51;10035
Fábián Áron;f;1981.04.21;1:37:21;2:22:51;1:23:34;10036
Szücs Szonja;n;1982.05.21;2:59:25;2:59:30;2:16:45;10037
Váradi Fruzsina;n;2000.11.17;2:27:58;2:30:57;1:48:57;10038
Székely Kevin;f;1992.08.02;2:37:55;2:07:20;2:51:29;10039
Váradi Vanessza;n;1987.09.19;2:05:00;1:49:00;1:32:05;10040
Kun Sándor;f;1994.09.04;1:26:13;2:02:45;1:44:28;10041
Pintér Liliána;n;1995.06.12;1:03:46;1:58:50;1:03:57;10042
Jakab Marcell;f;1981.10.24;2:18:49;1:13:05;2:29:21;10043
Virág Levente;f;1995.11.20;2:00:18;1:31:10;1:35:58;10044
Szûcs Marcell;f;1998.04.18;2:42:23;2:06:56;1:10:49;10045
Fekete Zsolt;f;1991.10.09;2:13:33;1:56:43;1:36:30;10046
Kozma László;f;1998.04.30;1:04:10;1:33:54;2:44:23;10047
Nemes Viktória;n;1995.03.10;2:45:09;2:52:27;1:42:20;10048
Mészáros Janka;n;1988.01.19;2:03:52;2:24:01;2:22:10;10049
Balázs Krisztián;f;1992.09.14;2:22:50;1:54:40;2:28:38;10050
Németh Máté;f;1994.11.14;2:06:18;2:53:09;2:01:53;10051
Fehér Norbert;f;1993.12.11;2:40:45;2:17:23;2:47:50;10052
Balog Hanna;n;1999.11.08;1:38:42;1:09:53;2:08:56;10053
Somogyi Zsolt;f;2004.03.25;1:54:56;1:20:35;2:23:39;10054
Török Olivér;f;1988.10.15;2:27:52;2:45:53;1:18:21;10055
Kozma István;f;1983.04.20;2:37:36;2:53:09;1:02:07;10056
Máté Amanda;n;1996.05.08;1:09:29;1:51:16;2:26:53;10057
Major Zsófia;n;1983.08.23;2:33:55;2:38:20;1:25:55;10058
Rácz Kinga;n;1993.10.22;2:26:03;1:22:19;2:39:33;10059
